Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,Women's Strawweight,Women's Flyweight,Women's Bantamweight,
Kai Asakura,Tim Elliott,Dan Hooker,Marc Diakiese,Josh Quinlan,Mansur Abdul-Malik,Junior Tafa,,,,,
Luis Gurule,Sumudaerji,Kron Gracie,Damir Hadzovic,Ismail Naurdiev,Zachary Reese,Eric McConico,,,,,
,Alex Perez,Nate Maness,Christos Giagos,Abdul Razak Alhassan,Dusko Todorovic,Cody Brundage,,,,,
,Cristian Quinonez,Chase Hooper,Ricky Glenn,Sean Strickland,Claudio Ribeiro,,,,,,
,Alatengheili,Gavin Tucker,Darren Elkins,Jonny Parsons,AJ Dobson,,,,,,
,Bruno Silva,Raoni Barcelos,Tim Means,Danny Roberts,Tafon Nchukwi,,,,,,
,Steve Erceg,Kurt Holobaugh,Josh Emmett,Tony Ferguson,Denis Tiuliulin,,,,,,
,Ode Osbourne,Shayilan Nuerdanbieke,Nikolas Motta,Robert Whittaker,Josh Fremd,,,,,,
,Tyson Nam,Douglas Silva de Andrade,Maheshate,Bassil Hafez,Jamie Pickett,,,,,,
,Amir Albazi,Song Yadong,Gabriel Benitez,Ramiz Brahimaj,Bryan Battle,,,,,,
,Malcolm Gordon,Marlon Vera,Bryan Barberena,Mickey Gall,Gilbert Urbina,,,,,,
,Aoriqileng,Taylor Lapilus,Damon Jackson,Drew Dober,Marco Tulio,,,,,,
,Benardo Sopaj,Grant Dawson,Alexander Volkanovski,Pete Rodriguez,Tresean Gore,,,,,,
,Ricky Turcios,Julio Arce,Julian Erosa,Jonathan Micallef,Aliaskhab Khizriev,,,,,,
,Jose Johnson,Lucas Almeida,Damir Ismagulov,Kevin Jousset,Val Woodburn,,,,,,
,Chad Anheliger,Ludovit Klein,Kyle Nelson,Song Kenan,Bryan Barberena,,,,,,
,Kris Moutinho,Daniel Santos,Mike Davis,Alex Reyes,Kamaru Usman,,,,,,
,Johnny Munoz,JeongYeong Lee,Trey Ogden,Jalin Turner,Ihor Potieria,,,,,,
,JP Buys,Blake Bilder,Kurt Holobaugh,Kyle Prepolec,Robert Bryczek,,,,,,
,David Martinez,Jamall Emmers,Charles Jourdain,Kevin Lee,Dylan Budka,,,,,,
,Saimon Oliveira,Gabriel Miranda,MarQuel Mederos,Abubakar Nurmagomedov,Antonio Trocoli,,,,,,
,Rinya Nakamura,Shane Young,Austin Hubbard,Gabe Green,Daniel Rodriguez,,,,,,
,Fernie Garcia,Jared Gordon,Kyle Prepolec,Jared Gooden,Azamat Bekoev,,,,,,
,Youssef Zalal,Cody Stamann,Jonathan Pearce,Ange Loosa,Ateba Gautier,,,,,,
,Cub Swanson,Westin Wilson,Josh Culibao,Rhys McKee,Jose Daniel Medina,,,,,,
,Mateus Mendonca,JooSang Yoo,Tom Nolan,Trevin Giles,Ryan Loder,,,,,,
,Luan Lacerda,Jeka Saragih,Viacheslav Borshchev,Gilbert Urbina,Torrez Finney,,,,,,
,Toshiomi Kazama,Bogdan Grad,Steve Garcia,Benoit Saint Denis,Robert Valentin,,,,,,
,Cody Haddon,Lucas Alexander,TJ Brown,Yohan Lainesse,Eric McConico,,,,,,
,Dan Argueta,Cory Sandhagen,Alexander Munoz,Blood Diamond,Andrey Pulyaev,,,,,,
,Terrence Mitchell,Brad Katona,Myktybek Orolbai,AJ Fletcher,Nick Klein,,,,,,
,Kleydson Rodrigues,Austin Lingo,Elves Brener,Evan Elder,Ozzy Diaz,,,,,,
,Cameron Smotherman,Bill Algeo,Kaue Fernandes,Billy Ray Goff,Djorden Santos,,,,,,
,Jake Hadley,Gabriel Santos,Guram Kutateladze,Yusaku Kinoshita,Jackson McVey,,,,,,
,Caolan Loughran,Jack Jenkins,Rongzhu,Rolando Bedoya,,,,,,,
,Nick Aguirre,Herbert Burns,Natan Levy,Wellington Turman,,,,,,,
,Ramon Taveras,TJ Brown,Mike Breeden,Darrius Flowers,,,,,,,
,Carlos Vera,Ricky Simon,Chepe Mariscal,Kiefer Crosbie,,,,,,,
,Charalampos Grigoriou,Umar Nurmagomedov,Charlie Campbell,Val Woodburn,,,,,,,
,Angel Pacheco,Brian Kelleher,Quillan Salkilld,Nursulton Ruziboev,,,,,,,
,Victor Hugo,Chris Gutierrez,Yanal Ashmouz,Austin Vanderford,,,,,,,
